Element	AtomicNumber	GroupBlock	Period	StandardAtomicWeight	ElementCategory	ElectronConfiguration	Phase	MeltingPoint	BoilingPoint	Density	TriplePoint	CriticalPoint	HeatOfFusion	HeatOfVaporization	MolarHeatCapacity	OxidationStates	Electronegativity	IonizationEnergies	AtomicRadius	CovalentRadius	VanDerWaalsRadius	CrystalStructure	SpeedOfSound	ThermalExpansion	ThermalConductivity	ElectricalResistivity	MagneticOrdering	MagneticSusceptibility	YoungsModulus	ShearModulus	BulkModulus	PoissonRatio	MohsHardness	VickersHardness	BrinellHardness	CASNumber	Discovery
		Group/Block						°K	°K	g/cm3	°K @ kPa	°K @ MPa	kJ/mol	kJ/mol	J/(mol·K)			kJ/mol	pm	pm	pm		m/s	µm/(m·K)	W/(m·K)	µΩ·m		cm3/mol	GPa	GPa	GPa			MPa	MPa		Name (Year)
Hydrogen	1	1-S	1	1.008	NonMetal	1s1	Gas	13.99	20.271	8.988E-05	13.8033 @ 7.041	32.938 @ 1.2858	0.117	0.904	28.836	-1,1	2.2	1312		31	120	Hexagonal	1310		0.1805		Diamagnetic	-3.98E-06								1333-74-0	Henry Cavendish (1766)
Helium	2	18-S	1	4.002602	NobleGas	1s2	Gas	0.95	4.222	0.0001786	2.177 @ 5.043	5.1953 @ 0.22746	0.0138	0.0829	20.78	0		2372.3;5250.5		28	140	HexagonalClosePacked	972		0.1513		Diamagnetic	-1.88E-06								7440-59-7	Pierre Janssen, Norman Lockyer (1868)
Lithium	3	1-S	2	6.94	AlkaliMetal	[He] 2s1	Solid	453.65	1603	0.534		3220 @ 67	3	136	24.86	1	0.98	520.2;7298.1;11815	152	128	182	BodyCenteredCubic	6000	46	84.8	0.0928	Paramagnetic	1.42E-05	4.9	4.2	11		0.6		5	7439-93-2	Johan August Arfwedson (1817)
Beryllium	4	2-S	2	9.0121831	AlkalineEarthMetal	[He] 2s2	Solid	1560	2742	1.85			12.2	292	16.443	2,1	1.57	899.5;1757.1;14	112	96	153	HexagonalClosePacked	12890	11.3	200	0.036	Diamagnetic	-9E-06	287	132	130	0.032	5.5	1670	590 - 1320	7440-41-7	Louis Nicolas Vauquelin (1798)
Boron	5	13-P	2	10.81	Metalloid	[He] 2s2 2p1	Solid	2349	4200	2.08			50.2	508	11.087	3,2,1,-1,-5	2.04	800.6;2427.1;3659.7	90	84	192	Rhombohedral	16200	5	27.4	106	Diamagnetic	-6.7E-06					9.5			7440-42-8	Joseph Louis Gay-Lussac and Louis Jacques Thénard (1808)
Carbon	6	14-P	2	12.011	NonMetal	[He] 2s2 2p2	Solid			2.267	4600 @ 10800		117		8.517	4,3,2,1,0,-1,-2,-3,-4	2.55	1086.5;2352.6;4620.5		77	170	FaceCenteredDiamondCubic	18350	0.8	119	7.837	Diamagnetic	-5.9E-06	1050	478	442	0.1	1			7440-44-0	Egyptians and Sumerians (3750 BC)
Nitrogen	7	15-P	2	14.007	NonMetal	[He] 2s2 2p3	Gas	63.15	77.355	0.001251	63.151 @ 12.52	126.192 @ 3.3958	0.72	5.56	29.124	5,4,3,2,1,-1,-2,-3	3.04	1402.3;2856;4578.1		71	155	Hexagonal	353		25.83		Diamagnetic									7727-37-9	Daniel Rutherford (1772)
Oxygen	8	16-P	2	15.999	NonMetal	[He] 2s2 2p4	Gas	54.36	90.188	0.001429	54.361 @ 0.1463	154.581 @ 5.043	0.444	6.82	29.378	2,1,-1,-2	3.44	1313.9;3388.3;5300.5		66	152	Cubic	330		26.58		Paramagnetic	0.003449								7782-44-7	Carl Wilhelm Scheele (1771)
Fluorine	9	17-P	2	18.998403163	NonMetal	[He] 2s2 2p5	Gas	53.48	85.03	0.001696	53.48 @ 90	144.41 @ 5.1724		6.51	31	-1	3.98	1681;3374;6147		64	135	Cubic			0.02591		Diamagnetic									7782-41-4	André-Marie Ampère (1810)
Neon	10	18-P	2	20.1797	NobleGas	[He] 2s2 2p6	Gas	24.56	27.104	0.0009002	24.556 @ 43.37	44.4918 @ 2.7686	0.335	1.71	20.79	0		2080.7;3952.3;6122		58	154	FaceCenteredCubic	435		49.1		Diamagnetic	-6.74E-06			654					7440-01-9	William Ramsay & Morris Travers (1898)
Sodium	11	1-S	3	22.98976928	AlkaliMetal	[Ne] 3s1	Solid	370.944	1156.09	0.968		2573 @ 35	2.6	97.42	28.23	1,-1	0.93	495.8;4562;6910.3	186	166	227	BodyCenteredCubic	3200	71	142	0.0477	Paramagnetic	1.6E-05	10	3.3	6.3		0.5		0.69	7440-23-5	Humphry Davy (1807)
Magnesium	12	2-S	3	24.305	AlkalineEarthMetal	[Ne] 3s2	Solid	923	1363	1.738			8.48	128	24.869	2,1	1.31	737.7;1450.7;7732.7	160	141	173	HexagonalClosePacked	4940	24.8	156	0.0439	Paramagnetic	1.31E-05	45	17	45	0.29	1		44 - 260	7439-95-4	Joseph Black (1755)
Aluminium	13	13-P	3	26.9815385	PostTransitionMetal	[Ne] 3s2 3p1	Solid	933.47	2743	2.7			10.71	284	24.2	3,2,1,-1,-2	1.61	577.5;1816.7;2744.8	143	121	184	FaceCenteredCubic	5000	23.1	237	0.0282	Paramagnetic	1.65E-05	70	26	76	0.35	2.75	160 - 350	160 - 550	7429-90-5	
Silicon	14	14-P	3	28.085	Metalloid	[Ne] 3s2 3p2	Solid	1687	3538	2.329			50.21	383	19.789	4,3,2,1,-1,-2,-3,-4	1.9	786.5;1577.1;3231.6	111	111	210	FaceCenteredDiamondCubic	8433	2.6	149	2.3	Diamagnetic	-3.9E-06	159	65.5	97.6	0.064	7			7440-21-3	Jöns Jacob Berzelius (1823)
Phosphorus	15	15-P	3	30.973761998	NonMetal	[Ne] 3s2 3p3	Solid			2.69			0.66	51.9	23.824	5,4,3,2,1,-1,-2,-3	2.19	1011.8;1907;2914.1		107	180	BodyCenteredCubic			0.236		Diamagnetic	-2.08E-05			5					white: 12185-10-3; red: 7723-14-0	Hennig Brand (1669)
Sulfur	16	16-P	3	32.06	NonMetal	[Ne] 3s2 3p4	Solid	388.36	717.8	2.07		1314 @ 20.7	1.727	45	22.75	6,5,4,3,2,1,-1,-2	2.58	999.6;2252;3357		105	180	Orthorhombic			0.205	2	Diamagnetic	-1.55E-05			7.7		2			7704-34-9	Chinese (2000 BC)
Chlorine	17	17-P	3	35.45	NonMetal	[Ne] 3s2 3p5	Gas	171.6	239.11	0.0032		416.9 @ 7.991	6.406	20.41	33.949	7,6,5,4,3,2,1,-1	3.16	1251.2;2298;3822		102	175	Orthorhombic	206		8.9	10	Diamagnetic	-4.05E-05								7782-50-5	Carl Wilhelm Scheele (1774)
Argon	18	18-P	3	39.948	NobleGas	[Ne] 3s2 3p6	Gas	83.81	87.302	0.001784	83.8058 @ 68.89	150.687 @ 4.863	1.18	6.53	20.85	0		1520.6;2665.8;3931		106	188	FaceCenteredCubic	323		17.72		Diamagnetic	-1.96E-05								7440-37-1	Lord Rayleigh and William Ramsay (1894)
Potassium	19	1-S	4	39.0983	AlkaliMetal	[Ar] 4s1	Solid	336.7	1032	0.862		2223 @ 16	2.33	76.9	29.6	1,-1	0.82	418.8;3052;4420	227	203	275	BodyCenteredCubic	2000	83.3	102.5	0.072	Paramagnetic	2.08E-05	3.53	1.3	3.1		0.4		0.363	7440-09-7	Humphry Davy (1807)
Calcium	20	2-S	4	40.078	AlkalineEarthMetal	[Ar] 4s2	Solid	1115	1757	1.55			8.54	154.7	25.929	2,1	1	589.8;1145.4;4912.4	197	176	231	FaceCenteredCubic	3810	22.3	201	0.0336	Diamagnetic	4E-05	20	7.4	17	0.31	1.75		170 - 416	7440-70-2	Humphry Davy (1808)
Scandium	21	3-D	4	44.955908	TransitionMetal	[Ar] 3d1 4s2	Solid	1814	3109	2.985			14.1	332.7	25.52	3,2,1	1.36	633.1;1235;2388.6	162	170	211	HexagonalClosePacked		10.2	15.8	0.562	Paramagnetic	0.000315	74.4	29.1	56.6	0.279			736 - 1200	7440-20-2	Lars Fredrik Nilson (1879)
